DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Northern Kordofan,SDN_North Kordofan
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Gadaref,SDN_Gedaref
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
2017-0205-KEN,Flood,KEN,Kenya,2017-05-08,2017-05-16,26,25000,,
